shortdefinitions{
<ανά>γνωστος|hard to read
διψαλέος|thirsty
διψητικός|thirsty
διψοποιός|provoking thirst
διψώδης|thirsty
διωβελία|a daily allowance of two obols
διωβολιαῖος|weighing two obols
διωγμείτης|mounted policeman
διωγμητικά|fees
διωγμός|the chase
διωθέω|push asunder, tear away
διωθίζομαι|scuffle, jostle
διωθισμός|pushing about, scuffle
διωκτέος|to be pursued
διωκτήρ|pursuer
διωκτικός|apt to pursue, follow
διωκτός|driven into exile, banished
διωκτύς|persecution
διωλένιος|with stretched-out arms
διωλύγιος|immense, enormous
διωμοσία|an oath taken by both parties at the
διωνέομαι|buy up
διωνυμέω|use two names
διωνυμία|pair of names or double name
διωξικέλευθος|urging on the way
διωρία|fixed space or interval
διωργισμένως|angrily
διωρισμένως|distinctly, separately
διωρυχή|digging or cutting through
διωσμός|pushing through
διωστήρ|instrument for pushing out
διωχής|that will hold two
διό|wherefore, on which account
διόβλητος|smitten by Zeus
διόγκωσις|swelling
διόδιον|passage through
διόδους|bidens
διόθεν|sent from Zeus, according to his will
διόλλυμι|destroy utterly, bring to naught
διόλου|altogether
διόμνυμι|swear solemnly, declare on oath
διόνυξ|double nail
διόνυσος|a
διόνυχος|with cloven hoof
διόπαις|son of Zeus
διόπαν|Zeus-Pan
διόπεμπτος|sent from Zeus
διόπη|ear-ring
διόπτευσις|examination with the
διόπτης|looker through
διόπτιον|sighting instrument for the
διόπτρα|optical instrument
διόπτριον|small speculum
διόργυιος|two fathoms deep, high
διόρθωμα|making straight, setting right
διόρθωσις|making straight
διόρισις|distinction
διόρισμα|ordinance
διόρνυμαι|hurry through
διόρυγμα|cut, canal
διόρυξις|digging through
διόρωσις|becoming or making serous
διόσδοτος|given by Zeus, heaven-sent
διόσκοροι|the sons of Zeus
διόσπυρον|fruit of nettle-tree, Celtis australis
διόστεος|double-boned
διότι|because, for the reason that, since
διότιπερ|because
διόχλησις|annoyance
διύλισις|filtering, refining, purifying
διύλισμα|filtered or clarified liquor
διύφαντος|doubly woven
διώβολον|double obol
διώδυνος|with thrilling anguish
διώθησις|thrusting
διώκω|cause to run, set in quick motion
διώμοτος|bound by oath
διώνη|Dione
διώνυμος|with two names
διώξιππος|horse-driving
διώροφος|with two roofs or stories
διῃρημένως|separately
διῶρυξ|trench, conduit, canal
δμητήρ|tamer
δμητός|tamed
δμώς|slave taken in war
δμῆσις|taming, breaking
δμῳή|female slave taken in war
δμῴιος|in servile condition
δνοπάλιξις|shaking, fluttering
δνοπαλίζω|shake violently, fling down
δνοφερός|dark, murky
δνόφος|darkness, dusk, gloom
δοάσσατο|it seemed
δογματίας|sententious person
δογματίζω|lay down as an opinion
δογματικός|of or for doctrines, didactic
δογματογράφος|drafter of decrees
δογματογραφέω|draft decrees
δογματολογία|expounding of a doctrine
δογματοποιέω|make a decree
δογματοποιία|maintenance of
δοθιήν|small abscess, boil
δοθιηνικόν|remedy for boils
δοιάζω|consider in two ways, be in two minds:
δοιάς|duality
δοιέτης|two years old
δοιή|doubt, perplexity
δοιδυκοποιός|pestle-maker
δοιδυκοφόβα|pestle-fearing
δοιοί|two, both
δοιοτόκος|bearing twins
δοκάζω|wait for
δοκάνη|forked pole
δοκέω|expect
δοκή|vision, fancy
δοκίς|plank
δοκεύς|bearing-beam, main beam
δοκεύω|keep an eye upon, watch narrowly
δοκεῖον|inn
δοκησίσοφος|wise in one's own conceit
δοκησιδέξιος|clever in one's own conceit
δοκησισοφία|conceit of wisdom
δοκιμάζω|assay, test
δοκιμή|proof, test
δοκιμασία|examination, scrutiny:
δοκιμαστέος|to be approved after scrutiny
δοκιμαστήριον|test, means of trial
δοκιμαστής|examiner, scrutineer
δοκιμαστικός|of or for scrutiny
δοκιμαστός|approved
δοκιμεῖον|test, means of testing
δοκοθήκη|stone with hole for insertion of roof-beam
δοκοτέκτων|carpenter
δοκός1|bearing-beam, main beam
δοκός|bearing-beam, main beam
δοκόω|furnish with rafters
δοκώδης|beam-like
δολίζω|adulterate
δολίχαυλος|with a long tube
δολερός|deceitful, treacherous
δολιεύομαι|deal treacherously
δολιχάορος|with long sword
δολιχήπους|with long feet
δολιχήρετμος|long-oared
δολιχήρης|long
δολιχαίων|long-lived, immortal
δολιχαύχην|long-necked
δολιχεγχής|with tall spear
δολιχεύω|go through a long
δολιχογραφία|prolix writing
δολιχοδρομέω|run the
δολιχοδρόμος|running the
δολιχοκρόταφος|long-headed
δολιχούατος|long-eared
δολιχόδειρος|long-necked
δολιχόουρος|long-tailed:
δολιχός1|long
δολιχός|long
δολιχόσκιος|casting a long shadow
δολιχόφρων|far-reaching
δολιόμητις|crafty-minded
δολιόμυθος|crafty of speech
δολιόπους|stealthy of foot
δολιότης|deceit, subtlety
δολιότροπος|crafty
δολιόφρων|crafty of mind, wily
δολιόω|deal treacherously with
δολοεργής|working by fraud
δολοκτασία|murder by treachery
δολομήδης|wily, crafty
δολομήχανος|contriving wiles
δολοπεύω|plot
δολοπλανής|treacherous
δολοπλοκία|subtlety, craft
δολοπλόκος|weaving wiles
δολοποιός|treacherous, ensnaring
δολορραφέω|lay snares
δολορραφής|treacherously wrought
δολορραφία|artful contrivance
δολοφονέω|slay by treachery
δολοφονία|slaying by treachery
δολοφραδής|wily-minded
δολοφρονέων|planning craft, wily-minded
δολοφροσύνη|craft, subtlety
δολφός|womb
δολωνικός|pertaining to a top-sail
δολόεις|subtle, wily
δολόμητις|crafty of counsel, wily
δολόμυθος|subtle-speaking
δολόρραφος|treacherous
δολόφονος|slaying by treachery, privy to treacherous murder
δολόω|beguile, ensnare, take by craft
δολῶπις|artful-looking, treacherous
δομή|building
δομήτωρ|builder
δοματίζω|bestow presents on
δομαῖος|for building:
δομοσφαλής|shaking the house
δομοτέκτων|valvarius, Gloss.; carpenter
δομόω|provide with lodging
δονάκινος|made of reeds
δονέω|shake
δονακεύομαι|fowl with reed and birdlime
δονακεύς|thicket of reeds
δονακηδόν|like a reed
δονακογλύφος|reed-cutting, pen-making
δονακοδίφης|one who searches among reeds
δονακοτρόφος|producing reeds
δονακόεις|reedy
δονακόχλοος|green with reeds
δονακώδης|reedy
δονακών|a thicket of reeds
δονακῖτις|of reed
δοξάζω|think, imagine
δοξασία|opinion
δοξασμός|formation of opinions
δοξαστέον|one must opine
δοξαστής|one who forms opinions or conjectures
δοξαστικός|forming opinions, conjecturing
δοξαστός|matter of opinion, conjectural
δοξοκαθαιρετικός|clever at removing suspicion
δοξοκαλία|conceit of beauty
δοξοκοπέω|court popularity
δοξοκοπία|thirst for fame or popularity
δοξοκοπικός|popularity-hunting
δοξοκόπος|thirsting for notoriety
δοξολογία|laudation
δοξομανέω|to be mad after fame
δοξομανής|mad after fame
δοξομανία|mad thirst for fame
δοξοματαιόσοφος|would-be philosopher
δοξομιμητής|one who imitates mere semblance
δοξομιμητική|his art
δοξοπαιδευτικός|having the semblance of education
δοξοποιέω|glorify, praise
δοξοσοφία|conceit of wisdom
δοξοφαγία|hunger after fame
δοξοφόρος|winning fame
δοξόσοφος|wise in one's own conceit
δοξόφαυλος|apparently bad
δοξόω|have the character or credit
δορά1|@
δορά|@
δορήιος|wooden
δορίαλλος|pudendum muliebre
δορίγαμβρος|bride of battles
δορίδμητος|subdued by the spear
δορίκρανος|spear-headed
δορίκτητος|won by the spear
δορίκτυπος|spear-clashing
δορίληπτος|won by the spear
δορίμαργος|raging with the spear
δορίμαχος|fighting with the spear
δορίπαλτος|wielding the spear
δορίπληκτος|smitten by the spear
δορίπονος|toiling with the spear, bearing the brunt of war
δορίς|sacrificial knife
δορίτμητος|pierced by the spear
δορίτολμος|bold in war
δορατίζομαι|fight with spears
δορατισμός|fighting with spears
δορατοθήκη|spear-case
δορατομαχέω|to fight with spears
δορατοπαχής|of a spear-shaft's thickness
δορεύς|flayer
δοριάλωτος|captive of the spear, taken in war
δοριαλωσία|a being taken by storm
δοριθήρατος|hunted and taken by the spear
δορικανής|slain by the spear
δορικός|of skin or hide
δοριλύμαντος|destroyed by the spear
δοριμήστωρ|master of the spear
δοριμανής|raging with the spear
δοριπετής|fallen by the spear
δοριπτοίητος|scattered by the spear
δορισθενής|mighty with the spear
δοριστέφανος|crowned for bravery
δοριτίνακτος|shaken by battle
δορκάδειος|of an antelope or gazelle
δορκάδιον|silver ornament in that shape
δορκάς|an animal of the deer kind
δορκαδίζω|bound like an
δοροεργής|tanning or currying hides
δορπέω|take supper
δορπήιον|food, a meal
δορπία|the first day of the feast Apaturia
δορπηστός|supper-time, evening
δορπιάζω|take an evening meal
δορποφόρος|offering supper
δορυβόλος|hurling spears
δορυδρέπανον|halbert
δορυκέντειρα|piercing with the spear
δορυμήστωρ|skilled with the spear
δορυξόος|spear-polishing: maker of spears
δορυπαγής|compact of beams
δορυσσόητος|of battle
δορυσσόος|brandishing the lance
δορυφορέω|attend as a body-guard
δορυφορία|guard kept over
δορυφορικός|of or for the guard
δορυφόνος|slaying with the spear
δορυφόρημα|body-guard:
δορυφόρησις|protection of body-guard
δορός|leathern bag or wallet
δορόω|coat, plaster
δορύδιον|shaft
δορύκνιον|Convolvulus oleaefolius
δορύξενος|spear-friend
δορύπυρος|with fiery spears
δορύφορος|spear-bearing
δορώσιμος|for plastering
δοσείω|to be inclined to give
δοσοληψία|give-and-take, exchange, barter
δοτέος|to be given
δοτήρ|giver, dispenser
δοτικός|inclined to give, giving freely
δοτός|granted
δουκηνάριος|ducenarius, official receiving salary of
δουκικός|ducianus
δουλέκδουλος|a born slave
δουλαγωγέω|make a slave, treat as such
δουλαγωγία|enslavement
δουλαγωγός|enslaving
δουλαπατία|enticement of slaves from their master
δουλεία|slavery, bondage
δουλελεύθερος|freedman
δουλευτέον|one must be a slave
δουλευτός|servile
δουλεύτρια|female attendant
δουλεύω|to be a slave
δουλικός|slave
δουλογνώμων|of slavish mind
δουλοδιδάσκαλος|teacher of slaves
δουλοκοίτης|consorting with slaves
δουλοκρατέομαι|to be ruled by slaves
δουλοκρατία|slave-government
δουλομίκτης|one who consorts with slaves
δουλομαχία|servile war
δουλομιξία|consorting with slaves
δουλοποιέω|enslave
δουλοποιός|enslaving
δουλοπρέπεια|slavish spirit
δουλοπρεπής|befitting a slave, servile
δουλοπόνηρος|bad like a slave's
δουλοφανής|slave-like, slavish to look on
δουλωτικός|pertaining to service
δουλόβοτος|eaten up by slaves
δουλόσυνος|enslaved
δουλόσύνη|slavery
δουλόω|enslave
δουπέω|sound heavy or dead
δουπήτωρ|clattering
δουράτεος|of planks or beams of wood
δουρίπηκτος|fixed on spears
δουρίφατος|slain by the spear
δουρατόγλυφος|carved from wood
δουρηνεκής|a spear's throw off or distant
δουριβαρής|of a heavy spear
δουρικλειτός|famed for the spear
δουριτυπής|wood-splitting
δουροδόκη|case or stand for spears
δουροδόκος|one of the principal beams
δοχή|receptacle
δοχαῖος|fit for holding
δοχεύς|recipient
δοχεῖον|holder
δοχικός|receiving
δοχμή|space contained in a hand's breadth
δοχμιάζω|use the dochmiac metre
δοχμόλοφος|with slanting, nodding plume
δοχμόομαι|turn sideways
δοχμός|slantwise
δοχός|containing, able to hold
δούλειος|slavish, servile
δούλευμα|a service
δούλευσις|slavery
δούλιος|slavish, servile
δούλωσις|enslavement
δούξ|dux
δοῖδυξ|pestle
δοῦλος1|@
δοῦλος|@
δοῦπος|any dead, heavy sound, thud
δράβη|Arabian mustard, Lepidium Draba
δράγδην|in the grasp, with the hand
δράγλη|javelin
δράγμα|handful
δράκαινα|she-dragon
δράκαυλος|living with a snake
δράκος|eye
δράκων2|dragon, serpent
δράκων|dragon, serpent
δράμημα|running, course
δράμις|loaf
δράξ|handful
δράσκασις|running away, escape
δράσσομαι|grasp
δράστις|flax- or linen-workers
δράω1|@
δράω|@
δρέπανον|pruning-knife
δρέπτω|pluck
δρέπω|V A
δρήστης|worker
δρίλαξ|leech
δρίμυξις|smarting
δρίος|copse, thicket
δραίνω|to be ready to do
δραγατεύω|to be a watcher of a field or vineyard
δραγμή|handful
δραγμίς|small handful, pinch
δραγματηγέω|convey sheaves
δραγματηγία|conveyance of sheaves
δραγματηγός|labourer who conveys sheaves
δραγματηφόρος|carrying sheaves
δραγματοκλεπτέω|steal sheaves
δραγματολόγος|gleaning
δραγμεύω|collect the corn into sheaves
δραγμός|grasping
δρακίζω|play the buffoon
δρακιστής|buffoon
δρακονθόμιλος|of dragon brood
δρακοντίας|with coarse straw
δρακοντίασις|guinea-worm disease
δρακοντίς|bird
δρακοντίτης|dragon-stone
δρακοντοέθειρα|with snaky locks
δρακοντοβόλος|dragon-hurling
δρακοντοβότος|feeding dragons
δρακοντογενής|dragon-gendered
δρακοντοειδής|snake-like
δρακοντοκέφαλος|with a serpent's head
δρακοντοκτονία|slaying of a serpent
δρακοντολέτης|serpent-slayer
δρακοντοτριχέω|have snaky hair
δρακοντοφόνος|serpent-slaying
δρακοντοφόροι|draconarii
δρακοντόμαλλος|with snaky locks
δρακοντόμιμος|serpent-like
δρακοντόμορφος|of serpentform
δρακοντόπους|snake-footed, with serpents for feet
δρακοντόφρουρος|watched by a dragon
δρακοντώδης|vermiform
δρακτόν|small vase
δρακόντειος|of a dragon
δρακόντιον|fish
δραματικός|dramatic
δραματοποιέω|put into dramatic form
δραματοποιία|dramatic composition
δραματοποιός|dramatic poet
δραματουργέω|act a part
δραματουργία|action
δραματουργός|contriver
δραματούργημα|dramatic composition
δραμητέον|one must run
δραμοσύνη|ceremony
δραξών|thief
δραπέτης|runaway
δραπετίνδα|where one chased the rest
δραπεταγωγός|recovering a runaway slave:
δραπετεία|running away
δραπετεύω|run away
δραπετικός|of or for a
δρασείω|have a mind to do
δρασκάζω|attemptanescape
δρασμός|running away, flight
δραστέος|to be done
δραστήρ|cook
δραστήριος|active, efficacious
δραστηριότης|activity, energy
δραστικός|representing attack
δρατός|skinned, flayed
δραχμή|as much as one can hold in the hand
δραχμήιος|weighing a drachm
δραχμιαῖος|worth or costing a drachma
δραύκιον|necklace
δρεπάνη|sickle, reaping-hook
δρεπανίς|bird
δρεπανηφόρος|bearing a scythe or hook
δρεπανοειδής|sickle-shaped
δρεπανομάχαιρα|scimitar
δρεπανοποιός|sickle-maker
δρεπανουργός|sword-maker, armourer
δρεπανοφόρος|Rev. Ét.Gr.
δρεπτεύς|vintager
δρεπτικῶς|carptim, Gloss.
δρεπτός|plucked:
δρησμοσύνη|care
δρηστήρ|labourer, working man
δρηστεύω|perform rites
δρηστοσύνη|service
δριάεντα|bird
δριμεύω|itch
δριμυγμός|pungency
δριμυποιέω|make pungent
δριμυφαγέω|live on acrid food
δριμυφαγία|acrid diet
δριμύλος|a piercing little
δριμύς|piercing, sharp, keen
δριμύσσω|cause to smart
δριμύτης|acridness
δροίτη|bathing-tub, bath
δρομάδην|in running
δρομάς|running
δρομίας|fish
δρομαγετέω|act as clerk of the course
δρομαδάριος|dromedarius
δρομαῖος|running at full speed, swift
δρομεύς|runner
δρομικός|good at running, swift
δρομικότης|fleetness of foot
δρομοκῆρυξ|runner, postman
δρομόω|hasten
δροσία|foam
δροσίζω|bedew, besprinkle
δροσερός|dewy, watery
δροσισμός|exposure to dew
δροσοβολέω|to shed dew
δροσοβόλος|dewy
δροσογόνος|dew-producing
δροσοείμων|dew-clad
δροσοειδής|dew-like
δροσοπάχνη|hoar-frost, rime
δροσοπαγής|dew-nourished
δροσόεις|dewy
δροσόλιθος|gem
δροσόομαι|to be wet with dew
δροσώδης|dewy, moist
δρυάς|a Dryad
δρυίδης|Druid
δρυίνας|serpent living in hollow oaks
δρυίτης|cypress.
δρυαχαρνεύς|tough Acharman
δρυηκόπος|wood-cutting
δρυινών|oak-coppice
δρυμεῖτις|woodland
δρυμοφύλαξ|saltuarius
δρυμοχαρής|delighting in the woods
δρυμόνιος|haunting the woods
δρυμός|copse, thicket
δρυμώδης|woody
δρυοβάλανος|acorn
δρυοβαφής|dyed with oak-bark
δρυογόνος|oak-grown
δρυοκοίτης|dweller on the oak
δρυοκολάπτης|woodpecker
δρυοπαγὴς|oak-fastening
δρυοπτερίς|black oak-fern, Asplenium onopteris
δρυοτομία|felling of trees for timber
δρυπίς|knot-wort, Drypis spinosa
δρυπεπής|ripened on the tree, quite ripe
δρυτόμος|wood-cutter
δρυφάδες|nail-parings
δρυφάκτωμα|enclosure
δρυφάσσω|fence round, guard by a fence
δρυφή|tearing
δρυφακτόω|fence, fortify
δρυψογέρων|worn-out old man
δρυόεις|full of oaks, woody
δρωπάζω|gaze at
δρωπακίζω|apply a depilatory
δρωπακισμός|the application of a pitch-plaster
δρωπακιστέον|one must apply a pitch-plaster
δρωπακιστής|depilator
δρωπακιστός|serving as a counter-irritant
δρόμαξ|good at running
δρόμιον|race-course
δρόμιος|god of the race-course
δρόμος|course, race
δρόμων|a light vessel
δρόξιμα|uncooked fruit
δρόπις|flower-basket
δρόσαλλις|vine
δρόσος|dew
δρύινος|oaken
δρύκαρπον|acorn or similar fruit
δρύμιος|passing through a copse
δρύος|woodland
δρύοχοι|props or shores
δρύοψ|woodpecker
δρύππα|olive
δρύππιος|planted with olives
δρύπτω|tear, strip
δρύφακτος|railing or latticed partition
δρύψελον|bark:
δρᾶμα|deed, act
δρᾶνος|doing, deed, power
δρᾶσις|strength, efficacy
δρῖλος|verpus
δρῦς|tree
δρῶπαξ|pitch-plaster
δυάζω|express in the dual number
δυάκις|twice
δυάνδρες|duumviri
δυάς|the number two
δυάω|plunge in misery
δυαδίζω|make into a dyad
δυαδικός|of or for the number two
δυαδισμός|making into a dyad
δυανδρικός|duumviralis
δυειδής|of the class of the dyad
δυενιαυσίως|twice yearly
δυερός|miserable
δυηπάθια|misery
δυηπαθέω|endure misery
δυηπαθής|much-suffering
δυικός|dual
δυνάμωσις|strengthening, fortifying, invigoration
δυνάστευμα|natural resources
δυνάστης|lord, master, ruler
δυναμερός|potent
δυναμικός|powerful, efficacious
δυναμοδύναμις|square multiplied by square, fourth power
δυναμοστόν|the fraction
δυναμωτικός|strengthening
δυναμόκυβος|square multiplied by cube, fifth power
δυναμόω|strengthen
δυναστεία|power, lordship, domination
δυναστευτικός|arbitrary
δυναστεύω|hold power or lordship, be powerful
δυναστικός|of or for a
δυνατέω|to be mighty
δυνατοτερέω|to be more capable
δυνατός|strong, mighty
δυνητικός|potential
δυοειδής|of two forms, double, dual
δυοκαίδεκα|twelve
δυοκαιδέκατος|twelfth
δυοκαιδεκάδελτος|the Laws of the Twelve
δυοκαιδεκάζῳδος|zodiac
δυοκαιεβδομηκοστός|seventy-second
δυοκαιεικοσίπηχυς|of two and twenty cubits
δυοκαιεικοστός|twenty-second
δυοκαιπεντηκοστός|fifty-second
δυοποιός|making two
δυοστός|second
δυς|un-, mis
δυσάγγελος|messenger of ill
δυσάγωγος|hard to guide
δυσάγων|having seen hard service
δυσάδελφος|unhappy in one's brothers
δυσάεθλος|laborious
δυσάερος|having bad air
δυσάθλιος|most miserable
δυσάκεστος|hard to heal
δυσάλγημα|severe pain
δυσάλγητος|hard to be borne, most painful
δυσάλθητος|hard to cure, inveterate
δυσάλυκτος|hard to escape
δυσάλωτος|hard to catch or take
δυσάμμορος|most miserable
δυσάνιος|soon vexed, ill to please
δυσάνοικτος|hard to open
δυσάντης|hard to climb
δυσάντητος|disagreeable to meet, boding of ill
δυσάνωρ|with a bad husband
δυσάπιστος|very disobedient
δυσάρεστος|hard to appease, implacable
δυσάρμοστος|ill-united
δυσέγερτος|hard to wake
δυσέγχωστος|hard to dam up
δυσέκβατος|hard to get out of
δυσέκδεκτος|hard to endure, intolerable
δυσέκδρομος|hard to escape
δυσέκδυτος|hard to shake off
δυσέκθυτος|hard to avert by sacrifice
δυσέκκριτος|hard to digest and pass
δυσέκκρουστος|hard to disturb, shake
δυσέκλειπτος|hard to escape from
δυσέκλυτος|hard to undo
δυσέκνευστος|hard to swim out of
δυσέκνιπτος|hard to wash out
δυσέκπληκτος|hard to terrify
δυσέκπλοκος|tangled, inextricable
δυσέκπλους|hard to sail out of
δυσέκπλυτος|hard to wash out
δυσέκπνευστος|hard to breathe out
δυσέκπτωτος|not easily dislocated
δυσέκρυπτος|hard to wash out
δυσέκτηκτος|hard to melt
δυσέκφευκτος|hard to escape from
δυσέκφορος|hard to pronounce or utter
δυσέλεγκτος|hard to refute
δυσέλικτος|hard to undo
δυσέλπιστος|unhoped for
δυσέμβατος|hard to walk on, rugged
δυσέμβλητος|hard to set
δυσέμβολος|hard to enter
δυσέμπρηστος|hard to burn
δυσέμπτωτος|not easily falling into
δυσέντερος|suffering from dysentery
δυσέντευκτος|unpleasant to meet, physically repulsive
δυσένωτος|hard to unite
δυσέξαπτος|hard to unbind
δυσέξιτος|hard to get out of
δυσέξοδος|hard to get out of
δυσέξοιστος|hard to explain
δυσέξοχος|craggy, rugged
δυσέπακτος|hard to draw back
δυσέραστος|unhappy in love
δυσέργαστος|difficult to construct
δυσέργεια|difficulty
δυσέργημα|difficulty, hindrance
δυσέρημος|very lonely, desolate
δυσέριστος|pertaining to unholy strife
δυσέρως|madly or disastrously loving
δυσέφικτος|hard to come at
δυσέφοδος|hard to get at, inaccessible
δυσέψανος|hard to digest
δυσέψητος|hard to cook
δυσήκεστος|hard to heal or cure
δυσήκοος|hard of hearing
δυσήλατος|hard to drive through or over
δυσήλιος|ill-sunned, sunless
δυσήμερος|hard to tame, restive
δυσήνιος|refractory
δυσήνυτος|hard to accomplish
δυσήρης|difficult
δυσήροτος|hard to plough
δυσήττητος|hard to conquer
δυσήτωρ|heavy at heart
δυσίατος|hard to heal
δυσίδρως|hardly perspiring
δυσίμερος|torments of love
δυσίχνευτος|hard to track
δυσίωτος|not easily rusted
δυσαής|ill-blowing, stormy
δυσαίακτος|most mournful, miserable
δυσαίθριος|not clear, murky
δυσαίνητος|of ill fame
δυσαίνιγμα|riddle of woe
δυσαίρετος|hard to take, impregnable
δυσαίσθητος|insensible
δυσαίων|most miserable
δυσαγέω|to be impious
δυσαγής|impious
δυσαγρέω|have bad sport in fishing
δυσαγρής|unluckily caught
δυσαγρία|bad sport
δυσαγώνιστος|impregnable
δυσαερία|badness of air
δυσαιανής|most melancholy
δυσαιμορράγητος|bleeding with difficulty
δυσαισθησία|low degree of sensibility
δυσαισθητέω|to be hardly sensible
δυσαιτιολόγητος|hard to account for
δυσαλγής|very painful
δυσαλθής|deadly
δυσαλλοίωτος|hard to alter
δυσαμάρτητος|making unfortunate mistakes
δυσανάβατος|hard to climb
δυσανάγωγος|hard to throw up
δυσανάδοτος|hard to assimilate
δυσανάκλητος|hard to call back
δυσανάκρατος|hard to mix or temper
δυσανάκριτος|hard to determine
δυσανάληπτος|hard to recover
δυσανάλυτος|hard to analyse
δυσανάλωτος|hard to destroy, consume
δυσανάπαυστος|restless
δυσανάπειστος|hard to convince
δυσανάπλους|hard to sail up
δυσανάπνευστος|offensive to inhalation
δυσανάσφαλτος|hardly recovering from an illness
δυσανάσχετος|hard to bear, intolerable
δυσανάτρεπτος|hard to overthrow
δυσαναβλαστέω|well up with difficulty
δυσαναθυμίατος|hard to evaporate
δυσανακάθαρτος|hard to cleanse
δυσανακόμιστος|hard to carry upwards
δυσαναληψία|difficult convalescence
δυσαναπόρευτος|hard to pass
δυσανασκεύαστος|hard to restore
δυσανασχετέω|bear ill
δυσανδρία|want of men
δυσανθής|shy of flowering
δυσανιῶν|much vexing
δυσαντίβλεπτος|hard to look in the face
δυσαντίλεκτος|hard to gainsay
δυσανταγώνιστος|hard to struggle against
δυσαντοφθάλμητος|hard to resist
δυσαξίωτος|inexorable
δυσαπάλειπτος|hard to wipe out
δυσαπάλλακτος|hard to get rid of
δυσαπαλλακτία|the quality of being difficult to get rid of, persistency
δυσαποδίδακτος|hard to unlearn
δυσαποδίωκτος|hard to drive away
δυσαποκατάστασις|difficulty of recovering, mortal sickness
δυσαποκατάστατος|hard to restore
δυσαποκλίτως|with difficulty in bending
δυσαπολόγητος|hard to defend or excuse
δυσαποτέλεστος|hard to accomplish
δυσαπούλωτος|hard to cicatrize
δυσαπόβλητος|hard to get rid of
δυσαπόδεικτος|hard to demonstrate
δυσαπόδοτος|hard to render or define
δυσαπόθετος|hard to put aside
δυσαπόκριτος|hard to answer
δυσαπόληπτος|hard to catch
δυσαπόλυτος|hard to get free of
δυσαπόνιπτος|hard to wash off or out
δυσαπόπτωτος|not apt to fall off
δυσαπόσπαστος|hard to tear away
δυσαπόσχετος|hard to abstain from
δυσαπότρεπτος|hard to dissuade, refractory
δυσαπότριπτος|hard to rub off
δυσαπότροπος|difficult to avert
δυσαρέστημα|malaise, distress
δυσαρέστησις|distress
δυσαρίθμητος|hard to count up
δυσαρεστέω|suffer annoyance
δυσαρεστία|distress, malaise
δυσαρεστικός|distressing
δυσαριστοτόκεια|unhappy mother of the noblest son
δυσαρμοστία|disharmony
δυσαρχία|ill discipline
δυσαυγής|blinding
δυσαυλία|ill or hard lodging
δυσαυξής|hardly or slowly growing
δυσαυρία|stormy wind
δυσαυχής|idly boasting, vain-glorious
δυσαφής|hard to the touch
δυσαφαίρετος|hard to take away
δυσαχής2|@
δυσαχθής|very grievous
δυσβάστακτος|intolerable, grievous to be borne
δυσβίοτος|making life wretched
δυσβατοποιέομαι|make impassable
δυσβλεπτέω|see badly
δυσβοήθητος|hard to help or cure
δυσβουλία|ill counsel
δυσβούλευτος|ill-advised
δυσβράκανος|hard to deal with
δυσγάργαλις|very ticklish, skittish
δυσγένεια|low birth
δυσγαμέω|to be unhappily married
δυσγαμία|an ill marriage
δυσγενής|low-born
δυσγεφύρωτος|hard to make a bridge over
δυσγεώργητος|hard to till or cultivate
δυσγνωσία|difficulty of knowing
δυσγνώριστος|hard to recognize
δυσγοήτευτος|hard to seduce by enchantments
δυσγράμματος|hard to write
δυσγρίπιστος|very grasping
δυσδάκρυτος|sorely wept
δυσδάμαστος|hard to subdue
δυσδίδακτος|hard to instruct
δυσδίοδος|hard to pass through
δυσδαίμων|ill-starred, unhappy
δυσδαιμονέω|to be wretched
δυσδαιμονία|misery
δυσδερκής|ill to look upon, grim, ugly
δυσδιάβατος|hard to get through
δυσδιάγνωστος|hard to distinguish
δυσδιάγωγος|unpleasant to live in
δυσδιάθετος|hard to dispose of
δυσδιάκριτος|hard to distinguish
δυσδιάλλακτος|hard to reconcile
δυσδιάλυτος|hard to dissolve
δυσδιάνοικτος|hard to open
δυσδιάπνευστος|slow to evaporate
δυσδιάσπαστος|hard to break
δυσδιάστατος|hard to separate
δυσδιάτηκτος|hard to soften
δυσδιάφευκτος|hard to escape
δυσδιάφθαρτος|hard to break up
δυσδιέγερτος|hard to be roused from
δυσδιέξακτος|hard to pass
δυσδιέξοδος|hard to get through, traverse
δυσδιήγητος|hard to narrate
δυσδιαίρετος|hard to divide or split
δυσδιαίτητος|hard to decide
δυσδιαγνω<σ>τικός|the difficulty in diagnosis
δυσδιακόμιστος|hard to carry through
δυσδιακόντιστος|hard to pierce
δυσδιανόητος|hard to understand.
δυσδιαστατέω|to be unstable
δυσδιαφορησία|difficulty of dissipation
δυσδιαφόρητος|hard to disperse or dissipate
δυσδιαχώρητος|indigestible
δυσδιεξίτητος|hard to get through
δυσδιερεύνητος|hard to search thoroughly
δυσδιοίκητος|hard to manage
δυσδιόρατος|hard to see one's way in
δυσδιόρθωτος|hard to set right
δυσδιόριστος|hard to delimit
δυσδοκίμαστος|hard to test
δυσείδεια|ugliness
δυσείκαστος|hard to make out
δυσείματος|meanly clad
δυσείμων|ill-clad
δυσείσβολος|hard to enter or invade
δυσείσοδος|difficult to enter
δυσείσπλους|hard to sail into
δυσεγκαρτέρητος|hard to sustain
δυσεγχείρητος|hard to take in hand
δυσειδής|unshapely, ugly
δυσειματέω|to wear mean clothes
δυσειμονία|mean clothing
δυσειρεσία|difficulty in rowing
